group,eps,case,relerr
diag,1e-4,1,1.836789198673521e-11
diag,1e-4,1,9.925711799600227e-13
diag,1e-4,1,6.363681121975922e-10
diag,1e-4,1,1.206404530763795e-13
diag,1e-4,1,3.300005348767938e-13
diag,1e-4,1,4.008065434121407e-08
diag,1e-4,1,5.612776345137287e-10
diag,1e-4,1,8.554322774682249e-07
diag,1e-4,1,7.507657437972599e-10
diag,1e-4,1,1.059816001884300e-11
diag,1e-4,1,1.540487090092151e-13
diag,1e-4,1,5.063536936640769e-11
diag,1e-4,1,7.231901311739592e-11
diag,1e-4,1,2.280978184161955e-07
diag,1e-4,1,3.014072419320923e-11
diag,1e-4,1,1.721198877259423e-11
diag,1e-4,1,1.723760161584407e-06
diag,1e-4,1,3.210302654341234e-09
diag,1e-4,1,9.363446147762011e-11
diag,1e-4,1,1.974105566136044e-10
diag,1e-4,1,8.075018389943962e-09
diag,1e-4,1,2.689772714953657e-12
diag,1e-4,1,3.175933683020262e-10
diag,1e-4,1,5.338818389343418e-13
diag,1e-4,1,1.741569311088917e-10
diag,1e-4,1,1.070142876609714e-08
diag,1e-4,1,3.183079779735212e-06
diag,1e-4,1,5.567574987852322e-08
diag,1e-4,1,5.302582169063568e-11
diag,1e-4,1,4.757709614726663e-13
diag,1e-4,1,5.849619283030562e-13
diag,1e-4,1,6.474028450940380e-12
diag,1e-4,1,4.672874374355536e-11
diag,1e-4,1,2.295589248913621e-12
diag,1e-4,1,1.522956497653288e-12
diag,1e-4,1,8.455935914486053e-12
diag,1e-4,1,2.386780045348951e-11
diag,1e-4,1,7.501131461238852e-13
diag,1e-4,1,5.132617501657299e-09
diag,1e-4,1,9.533360544166845e-12
diag,1e-4,1,1.996568575451911e-13
diag,1e-4,1,6.903553453959261e-13
diag,1e-4,1,1.654582103422799e-07
diag,1e-4,1,3.361116545984811e-09
diag,1e-4,1,2.172037415439910e-08
diag,1e-4,1,1.563831977221602e-10
diag,1e-4,1,8.457491524623470e-08
diag,1e-4,1,2.305042508439395e-11
diag,1e-4,1,2.824311274433106e-14
diag,1e-4,1,5.729246220043590e-12
diag,1e-4,1,3.963706254755466e-10
diag,1e-4,1,8.374599089357216e-11
diag,1e-4,1,5.629393848669918e-11
diag,1e-4,1,5.728931362351008e-12
diag,1e-4,1,6.540328576978966e-09
diag,1e-4,1,6.247501213131405e-11
diag,1e-4,1,6.881396782996619e-12
diag,1e-4,1,5.069159896302334e-10
diag,1e-4,1,1.330115189114067e-07
diag,1e-4,1,3.743901202712361e-07
diag,1e-4,1,4.848724760903704e-09
diag,1e-4,1,4.111001328268662e-11
diag,1e-4,1,4.663805191876418e-12
ps1,1e-4,2,6.428843752742489e-12
ps1,1e-4,2,8.067924473356691e-13
ps1,1e-4,2,4.576939498485362e-13
ps1,1e-4,2,1.647696822808761e-14
ps1,1e-4,2,6.101435850104001e-12
ps1,1e-4,2,1.033131139033642e-11
ps1,1e-4,2,1.707966530082678e-09
ps1,1e-4,2,3.603798123208492e-10
ps1,1e-4,2,3.097341989170701e-08
ps1,1e-4,2,1.306179376214418e-09
ps1,1e-4,2,7.389216650278234e-10
ps1,1e-4,2,3.838438651259472e-14
ps1,1e-4,2,4.707452958622651e-09
ps1,1e-4,2,2.183574648864451e-06
ps1,1e-4,2,1.003582160225798e-12
ps1,1e-4,2,1.389419338316273e-07
ps1,1e-4,2,1.375762546510553e-11
ps1,1e-4,2,8.351464431513731e-12
ps1,1e-4,2,6.968573794189193e-10
ps1,1e-4,2,1.210401074606543e-09
ps1,1e-4,2,4.613689222364415e-13
ps1,1e-4,2,7.756632916441728e-12
ps1,1e-4,2,5.136275972014314e-13
ps1,1e-4,2,4.294357236320746e-13
ps1,1e-4,2,5.036824151246230e-11
ps1,1e-4,2,4.366688793786760e-12
ps1,1e-4,2,3.570442360867448e-16
ps1,1e-4,2,4.841724306033075e-12
ps1,1e-4,2,2.187065369488364e-10
ps1,1e-4,2,2.848482656016380e-07
ps1,1e-4,2,4.220317367080171e-07
ps1,1e-4,2,1.636156807681286e-11
ps1,1e-4,2,1.738436750911436e-14
ps1,1e-4,2,4.557456192022036e-08
ps1,1e-4,2,5.676698414573116e-13
ps1,1e-4,2,1.013236824628898e-09
ps1,1e-4,2,1.313826733249082e-12
ps1,1e-4,2,1.388530826205783e-09
ps1,1e-4,2,3.530514236858121e-12
ps1,1e-4,2,1.747918349120550e-12
ps1,1e-4,1,2.747316588015641e-13
ps1,1e-4,2,8.499312988591374e-10
ps1,1e-4,2,1.162129059125354e-12
ps1,1e-4,2,7.383959299740286e-13
ps1,1e-4,2,2.432876925622086e-06
ps1,1e-4,2,5.166319578167173e-12
ps1,1e-4,2,1.610758571526120e-08
ps1,1e-4,2,7.834323411379638e-12
ps1,1e-4,1,3.776406878402144e-11
ps1,1e-4,2,1.125893309308880e-12
ps1,1e-4,2,9.285772196484392e-08
ps1,1e-4,2,1.646138405497164e-11
ps1,1e-4,2,2.216665910767170e-11
ps1,1e-4,2,5.587450676604954e-13
ps1,1e-4,2,2.043762514065731e-12
ps1,1e-4,2,2.322950518830999e-06
ps1,1e-4,2,2.349488936566884e-11
ps1,1e-4,2,5.345290986052981e-14
ps1,1e-4,2,3.887162643813719e-11
ps1,1e-4,2,1.016247849194707e-10
